resource,installedVersion,fixedVersion,title,primaryLink,severity,score,vulnerabilityID,notes
github.com/docker/docker,v26.1.3+incompatible,"23.0.15, 26.1.5, 27.1.1, 25.0.6",moby: Authz zero length regression,https://avd.aquasec.com/nvd/cve-2024-41110,CRITICAL,10,CVE-2024-41110,
stdlib,1.22.4,"1.21.12, 1.22.5",net/http: Denial of service due to improper 100-continue handling in net/http,https://avd.aquasec.com/nvd/cve-2024-24791,MEDIUM,5.9,CVE-2024-24791,
google.golang.org/grpc,v1.64.0,1.64.1,Private tokens could appear in logs if context containing gRPC metadata is logged in github.com/grpc/grpc-go,https://github.com/advisories/GHSA-xr7q-jx4m-x55m,LOW,none,GHSA-xr7q-jx4m-x55m,
